topic_name,consumer_group,partition,offset,lag,broker_id,throughput_msg_sec,status,timestamp
asset.maintenance.alerts,order-processing-service,20,38004142,57,BRO0001,607,FAILED,2026-06-25T00:40:00
marketing.campaign.events,marketing-attribution-consumer,4,12788875,484,BRO0001,706,SUCCESS,2026-07-20T14:29:00
customer.profile.updates,reporting-etl-consumer,15,3519075,1590,BRO0002,600,RUNNING,2026-07-25T18:41:00
campaign.performance.metrics,payments-reconciler,2,34204197,725,BRO0007,615,SUCCESS,2026-06-17T08:21:00
compliance.kyc.checks,marketing-attribution-consumer,12,34949339,1880,BRO0004,222,FAILED,2026-06-07T12:26:00
churn.risk.updates,asset-maintenance-consumer,16,36426528,483,BRO0011,1858,SUCCESS,2026-07-05T09:05:00
billing.transactions.raw,recommendation-engine-consumer,22,25788396,407,BRO0001,561,SUCCESS,2026-07-09T01:09:00
underwriting.decisions,hr-data-sync,12,23366032,299,BRO0006,1545,QUEUED,2026-07-15T07:39:00
payments.transactions.completed,churn-model-feeder,17,7899474,232,BRO0008,1047,RUNNING,2026-07-07T15:06:00
hr.employee.changes,notification-dispatcher,10,6798046,1689,BRO0009,1673,SUCCESS,2026-07-11T19:34:00
vendor.onboarding.events,recommendation-engine-consumer,17,22190327,41233,BRO0012,1996,SUCCESS,2026-07-23T04:04:00
compliance.kyc.checks,asset-maintenance-consumer,23,12636946,441,BRO0002,258,SUCCESS,2026-07-23T04:13:00
asset.maintenance.alerts,order-processing-service,1,37661816,839,BRO0011,936,SUCCESS,2026-07-23T19:33:00
campaign.performance.metrics,warehouse-ops-consumer,21,1264322,295,BRO0005,1310,FAILED,2026-07-20T01:00:00
returns.processed.events,customer-360-builder,21,10753319,206,BRO0010,499,SUCCESS,2026-07-12T02:20:00
security.auth.events,compliance-monitor,21,8685794,171,BRO0007,521,RUNNING,2026-07-23T08:08:00
logistics.fleet.telemetry,supply-chain-tracker,10,2959460,2517,BRO0010,1599,SUCCESS,2026-06-01T17:52:00
sales.leads.captured,hr-data-sync,15,46750855,1214,BRO0007,4290,SUCCESS,2026-06-02T12:22:00
asset.maintenance.alerts,warehouse-ops-consumer,20,11076846,1197,BRO0008,1941,RUNNING,2026-07-16T11:09:00
payments.transactions.completed,reporting-etl-consumer,16,3436687,2959,BRO0004,2293,RUNNING,2026-06-25T22:08:00
dispute.resolution.updates,customer-360-builder,16,34024452,173,BRO0002,1517,FAILED,2026-07-13T15:30:00
audit.access.logs,audit-log-collector,13,28113320,226,BRO0001,8560,SUCCESS,2026-06-28T15:23:00
supply_chain.shipments.updates,sla-monitor-consumer,17,2534673,184,BRO0005,1132,SUCCESS,2026-07-22T09:34:00
vendor.onboarding.events,quality-control-consumer,9,43029404,1592,BRO0005,2901,SUCCESS,2026-06-04T17:07:00
logistics.fleet.telemetry,marketing-attribution-consumer,1,23926126,155,BRO0005,42424,SUCCESS,2026-07-09T09:31:00
refund.processing.events,order-processing-service,16,32175823,2467,BRO0002,1625,SUCCESS,2026-06-01T07:41:00
returns.processed.events,logistics-telemetry-consumer,21,35693530,69,BRO0012,1063,CANCELLED,2026-06-09T10:33:00
energy.consumption.readings,loyalty-points-processor,15,27794316,11988,BRO0002,199,SUCCESS,2026-07-18T08:16:00
shipping.tracking.updates,claims-processing-group,1,32101922,1558,BRO0001,186,SUCCESS,2026-06-17T16:10:00
sla.breach.alerts,marketing-attribution-consumer,15,35434737,2381,BRO0003,11012,SUCCESS,2026-07-27T01:08:00
subscription.renewals,security-event-processor,6,36158107,1039,BRO0003,1156,QUEUED,2026-06-20T20:47:00
customer.support.tickets,loyalty-points-processor,13,48106597,2038,BRO0009,403,FAILED,2026-07-15T17:19:00
campaign.performance.metrics,claims-processing-group,4,25107333,788,BRO0001,634,SUCCESS,2026-07-25T17:27:00
recommendation.engine.scores,analytics-aggregator,11,6645211,698,BRO0008,321,SUCCESS,2026-06-18T23:44:00
warehouse.pick_pack.events,logistics-telemetry-consumer,19,19620978,347,BRO0009,1068,RUNNING,2026-07-26T18:12:00
shipping.tracking.updates,customer-360-builder,21,4845866,467,BRO0012,533,SUCCESS,2026-07-11T04:53:00
refund.processing.events,logistics-telemetry-consumer,23,24349882,35992,BRO0010,2029,SUCCESS,2026-07-26T05:05:00
customer.profile.updates,compliance-monitor,12,17757308,1760,BRO0002,5512,FAILED,2026-06-18T01:16:00
order.cancellations,warehouse-ops-consumer,10,35677435,3063,BRO0009,1842,SUCCESS,2026-06-30T05:42:00
subscription.renewals,audit-log-collector,20,14829254,464,BRO0006,1141,SUCCESS,2026-07-13T05:19:00
order.cancellations,order-processing-service,10,23412151,53,BRO0009,1123,SUCCESS,2026-07-26T01:13:00
asset.maintenance.alerts,compliance-monitor,1,21426095,124,BRO0004,4873,SUCCESS,2026-06-16T22:41:00
loyalty.points.accrued,supply-chain-tracker,1,34910306,14577,BRO0004,257,QUEUED,2026-06-28T10:02:00
security.auth.events,fraud-detection-group,23,33105014,255,BRO0002,384,SUCCESS,2026-07-15T14:34:00
logistics.fleet.telemetry,churn-model-feeder,19,37603794,15,BRO0008,595,QUEUED,2026-07-18T19:29:00
payments.transactions.completed,sla-monitor-consumer,5,33341903,398,BRO0007,295,SUCCESS,2026-07-27T07:12:00
payments.transactions.completed,sla-monitor-consumer,8,17660414,13,BRO0004,1890,SUCCESS,2026-06-13T03:31:00
campaign.performance.metrics,reporting-etl-consumer,22,21482035,32883,BRO0007,719,SUCCESS,2026-07-27T05:09:00
loyalty.points.accrued,recommendation-engine-consumer,13,25797816,3021,BRO0012,384,SUCCESS,2026-06-07T11:02:00
subscription.renewals,loyalty-points-processor,10,42283537,14,BRO0005,1979,SUCCESS,2026-07-21T07:44:00
payments.transactions.completed,billing-pipeline-consumer,19,953940,379,BRO0007,992,SUCCESS,2026-07-20T16:52:00
security.auth.events,notification-dispatcher,17,21989379,176,BRO0003,1699,SUCCESS,2026-07-23T00:42:00
campaign.performance.metrics,hr-data-sync,21,38337071,1176,BRO0002,1082,RUNNING,2026-07-20T19:54:00
hr.employee.changes,churn-model-feeder,5,15008526,3113,BRO0012,614,FAILED,2026-07-11T08:48:00
campaign.performance.metrics,pricing-engine-consumer,1,18946502,32727,BRO0008,342,SUCCESS,2026-07-04T02:39:00
fraud.alerts.stream,inventory-sync-consumer,23,38787459,451,BRO0006,1800,SUCCESS,2026-07-02T14:32:00
