entity_id,source_system,recommendation,impact,applied,success_rate
DAG0001,Airflow,Optimize Indexing,Latency Reduced,No,89
DAG0002,Airflow,Increase Sensor Sampling Rate,Improved Reliability,Yes,94
DAG0003,Airflow,Optimize SQL Query,Lower Failure Rate,No,88
DAG0004,Airflow,Increase Retry Count,Higher Throughput,Yes,88
DAG0005,Airflow,Scale Kubernetes Cluster,Reduced Cost,No,89
DAG0006,Airflow,Move Job to Off-Peak Hours,CPU Reduced,No,92
DAG0007,Airflow,Replace Aging Hardware,Memory Optimized,Yes,92
DAG0008,Airflow,Enable Autoscaling,Reduced Cost,Yes,99
DAG0009,Airflow,Increase Kafka Partitions,Runtime Reduced,Yes,84
DAG0010,Airflow,Move Job to Off-Peak Hours,Reduced Cost,No,95
DAG0011,Airflow,Increase Kafka Partitions,Improved Reliability,Yes,83
DAG0012,Airflow,Increase Retry Count,Improved Reliability,Yes,88
DAG0013,Airflow,Move Job to Off-Peak Hours,Latency Reduced,No,85
DAG0014,Airflow,Optimize SQL Query,Higher Throughput,No,92
DAG0015,Airflow,Scale Kubernetes Cluster,Runtime Reduced,No,85
DAG0016,Airflow,Increase Worker Nodes,Runtime Reduced,No,86
DAG0017,Airflow,Increase Worker Nodes,Higher Throughput,No,83
DAG0018,Airflow,Increase Sensor Sampling Rate,Lower Failure Rate,No,89
DAG0019,Airflow,Increase Kafka Partitions,Higher Throughput,No,98
DAG0020,Airflow,Increase Retry Count,Latency Reduced,No,83
DAG0021,Airflow,Increase Retry Count,Higher Throughput,Yes,88
DAG0022,Airflow,Replace Aging Hardware,Memory Optimized,Yes,91
DAG0023,Airflow,Enable Compression,Reduced Cost,Yes,86
DAG0024,Airflow,Replace Aging Hardware,Improved Reliability,No,99
DAG0025,Airflow,Reduce Batch Size,CPU Reduced,Yes,86
DAG0026,Airflow,Reduce Batch Size,Higher Throughput,No,95
DAG0027,Airflow,Increase Kafka Partitions,Reduced Cost,Yes,96
DAG0028,Airflow,Reduce Batch Size,Latency Reduced,Yes,83
DAG0029,Airflow,Replace Aging Hardware,Memory Optimized,No,85
DAG0030,Airflow,Move Job to Off-Peak Hours,Lower Failure Rate,Yes,98
DAG0031,Airflow,Enable Compression,Reduced Cost,No,92
DAG0032,Airflow,Replace Aging Hardware,Higher Throughput,No,90
DAG0033,Airflow,Enable Autoscaling,Latency Reduced,No,89
