entity_id,source_system,depends_on,downstream,dependency_type
DAG0001,Airflow,DAG0001,DAG0001,Consumes Data
DAG0002,Airflow,DAG0002,DAG0002,Consumes Data
DAG0003,Airflow,DAG0002,DAG0003,Depends On
DAG0004,Airflow,DAG0001,DAG0004,Depends On
DAG0005,Airflow,DAG0005,DAG0005,Monitors
DAG0006,Airflow,DAG0005,DAG0006,Consumes Data
DAG0007,Airflow,DAG0002,DAG0007,Depends On
DAG0008,Airflow,DAG0008,DAG0008,Triggers Pipeline
DAG0009,Airflow,DAG0004,DAG0009,Consumes Data
DAG0010,Airflow,DAG0002,DAG0010,Publishes Event
DAG0011,Airflow,DAG0008,DAG0011,Reads From
DAG0012,Airflow,DAG0008,DAG0012,Writes To
DAG0013,Airflow,DAG0002,DAG0013,Publishes Event
DAG0014,Airflow,DAG0005,DAG0014,Monitors
DAG0015,Airflow,DAG0008,DAG0015,Writes To
DAG0016,Airflow,DAG0014,DAG0016,Writes To
DAG0017,Airflow,DAG0014,DAG0017,Triggers Pipeline
DAG0018,Airflow,DAG0001,DAG0018,Triggers Pipeline
DAG0019,Airflow,DAG0011,DAG0019,Writes To
DAG0020,Airflow,DAG0020,DAG0020,Publishes Event
DAG0021,Airflow,DAG0014,DAG0021,Depends On
DAG0022,Airflow,DAG0017,DAG0022,Processes
DAG0023,Airflow,DAG0023,DAG0023,Monitors
DAG0024,Airflow,DAG0015,DAG0024,Depends On
DAG0025,Airflow,DAG0009,DAG0025,Depends On
DAG0026,Airflow,DAG0016,DAG0026,Consumes Data
DAG0027,Airflow,DAG0013,DAG0027,Consumes Data
DAG0028,Airflow,DAG0024,DAG0028,Consumes Data
DAG0029,Airflow,DAG0020,DAG0029,Publishes Event
DAG0030,Airflow,DAG0018,DAG0030,Monitors
DAG0031,Airflow,DAG0020,DAG0031,Processes
DAG0032,Airflow,DAG0014,DAG0032,Depends On
DAG0033,Airflow,DAG0002,DAG0033,Publishes Event
DAG0034,Airflow,DAG0013,DAG0034,Depends On
