entity_id,source_system,total_incidents,last_incident,root_cause,resolution,severity
DAG0001,Airflow,13,2026-07-02,Network Timeout,Increase Resources,High
DAG0002,Airflow,2,2026-07-13,Database Lock,Rollback Deployment,Medium
DAG0003,Airflow,7,2026-07-28,Database Lock,Apply Patch,Medium
DAG0004,Airflow,7,2026-07-22,CPU Saturation,Restart Service,High
DAG0005,Airflow,7,2026-07-24,Container Restart,Replace Sensor,Medium
DAG0006,Airflow,12,2026-07-13,Configuration Drift,Update Configuration,Medium
DAG0007,Airflow,3,2026-07-28,API Rate Limit,Replace Node,High
DAG0008,Airflow,2,2026-07-25,Container Restart,Retry Pipeline,High
DAG0009,Airflow,10,2026-07-01,Configuration Drift,Replace Sensor,High
DAG0010,Airflow,7,2026-07-26,Pod Crash,Apply Patch,High
DAG0011,Airflow,14,2026-07-05,Broker Failure,Retry Pipeline,Medium
DAG0012,Airflow,5,2026-07-13,Network Timeout,Apply Patch,Medium
DAG0013,Airflow,5,2026-07-02,Container Restart,Increase Resources,High
DAG0014,Airflow,6,2026-07-22,Sensor Failure,Rollback Deployment,High
DAG0015,Airflow,2,2026-07-08,CPU Saturation,Replace Node,High
DAG0016,Airflow,15,2026-07-09,Dependency Failure,Restart Service,Critical
DAG0017,Airflow,1,2026-07-27,CPU Saturation,Manual Intervention,High
DAG0018,Airflow,7,2026-07-28,Authentication Failure,Retry Pipeline,Low
DAG0019,Airflow,7,2026-07-01,API Rate Limit,Scale Cluster,Low
DAG0020,Airflow,11,2026-07-24,Power Outage,Rollback Deployment,Low
DAG0021,Airflow,3,2026-07-24,Dependency Failure,Replace Node,Medium
DAG0022,Airflow,10,2026-07-15,Pod Crash,Update Configuration,High
DAG0023,Airflow,2,2026-07-15,Broker Failure,Manual Intervention,High
DAG0024,Airflow,7,2026-07-28,Database Lock,Update Configuration,High
DAG0025,Airflow,8,2026-07-15,Database Lock,Replace Node,High
DAG0026,Airflow,12,2026-07-25,Configuration Drift,Restart Service,Low
DAG0027,Airflow,5,2026-07-27,Pod Crash,Retry Pipeline,Critical
DAG0028,Airflow,8,2026-07-27,Database Lock,Update Configuration,Critical
DAG0029,Airflow,14,2026-07-23,Disk Full,Rollback Deployment,High
DAG0030,Airflow,3,2026-07-26,Configuration Drift,Restart Service,Medium
DAG0031,Airflow,13,2026-07-06,Sensor Failure,Replace Sensor,Medium
DAG0032,Airflow,15,2026-07-28,CPU Saturation,Retry Pipeline,Low
DAG0033,Airflow,15,2026-07-21,Sensor Failure,Update Configuration,Low
DAG0034,Airflow,8,2026-07-10,Disk Full,Scale Cluster,Critical
DAG0035,Airflow,0,2026-07-23,Container Restart,Retry Pipeline,Medium
DAG0036,Airflow,3,2026-07-27,Database Lock,Apply Patch,Low
DAG0037,Airflow,9,2026-07-19,Configuration Drift,Restart Service,Critical
DAG0038,Airflow,9,2026-07-23,Firmware Error,Update Configuration,Critical
DAG0039,Airflow,14,2026-07-04,Pod Crash,Replace Node,Low
DAG0040,Airflow,1,2026-07-25,Power Outage,Retry Pipeline,Low
DAG0041,Airflow,9,2026-07-22,Broker Failure,Replace Sensor,Critical
DAG0042,Airflow,1,2026-07-07,Disk Full,Replace Sensor,High
DAG0043,Airflow,14,2026-07-04,API Rate Limit,Retry Pipeline,Low
DAG0044,Airflow,8,2026-07-27,Network Timeout,Replace Node,Medium
DAG0045,Airflow,1,2026-07-11,Sensor Failure,Update Configuration,Low
DAG0046,Airflow,2,2026-07-16,Power Outage,Replace Node,Medium
DAG0047,Airflow,13,2026-07-04,Power Outage,Increase Resources,Low
DAG0048,Airflow,2,2026-07-20,Firmware Error,Apply Patch,High
DAG0049,Airflow,8,2026-07-15,Firmware Error,Replace Node,High
DAG0050,Airflow,15,2026-07-27,Dependency Failure,Replace Node,High
DAG0051,Airflow,13,2026-07-06,Memory Leak,Retry Pipeline,Medium
DAG0052,Airflow,11,2026-07-03,Power Outage,Apply Patch,Critical
DAG0053,Airflow,2,2026-07-21,Firmware Error,Update Configuration,Medium
DAG0054,Airflow,13,2026-07-19,Sensor Failure,Retry Pipeline,Low
DAG0055,Airflow,1,2026-07-13,Disk Full,Scale Cluster,Critical
DAG0056,Airflow,10,2026-07-25,Authentication Failure,Manual Intervention,Critical
DAG0057,Airflow,3,2026-07-24,Database Lock,Update Configuration,Low
DAG0058,Airflow,13,2026-07-22,Database Lock,Update Configuration,Low
DAG0059,Airflow,6,2026-07-14,Pod Crash,Scale Cluster,Low
DAG0060,Airflow,4,2026-07-18,Network Timeout,Manual Intervention,Medium
DAG0061,Airflow,11,2026-07-04,Power Outage,Replace Node,High
DAG0062,Airflow,0,2026-07-03,Sensor Failure,Replace Sensor,High
DAG0063,Airflow,13,2026-07-16,Configuration Drift,Update Configuration,Low
