pod_name,namespace,node,pod_status,cpu_percent,memory_percent,restart_count,image,timestamp
billing-worker-c49885,payments,aks-nodepool1-94180852-vmss000017,RUNNING,60.28,57.08,1,billing-worker:v4.0.2,2026-06-09T13:34:00
order-processor-d8106f,customer-360,aks-nodepool1-15670390-vmss000004,RUNNING,47.59,53.73,2,order-processor:v3.7.1,2026-07-18T08:46:00
order-processor-25eadb,dataops,aks-nodepool1-96011206-vmss000010,SUCCESS,50.42,24.23,1,order-processor:v3.7.1,2026-07-08T05:45:00
notification-service-2555f3,security,aks-nodepool1-43898913-vmss000013,SUCCESS,26.57,58.38,3,notification-service:v2.4.9,2026-06-21T13:46:00
reporting-service-91c378,logging,aks-nodepool1-48627762-vmss000001,SUCCESS,42.81,54.57,0,reporting-service:v1.14.0,2026-06-06T01:18:00
analytics-aggregator-bac575,ingress-nginx,aks-nodepool1-85585651-vmss000007,RUNNING,33.23,31.28,0,analytics-aggregator:v4.17.6,2026-07-11T01:20:00
order-processor-3e79fb,ingress-nginx,aks-nodepool1-38662564-vmss000011,QUEUED,24.28,56.92,1,order-processor:v3.7.1,2026-06-20T20:11:00
payment-gateway-fa4252,analytics,aks-nodepool1-98085102-vmss000012,RUNNING,60.75,50.46,0,payment-gateway:v2.11.1,2026-07-20T00:37:00
reporting-service-7643ac,analytics,aks-nodepool1-49245863-vmss000020,SUCCESS,39.87,46.12,2,reporting-service:v1.14.0,2026-06-20T06:45:00
inventory-sync-68a112,monitoring,aks-nodepool1-98085102-vmss000012,SUCCESS,60.85,38.46,1,inventory-sync:v3.2.2,2026-07-07T13:18:00
billing-worker-c89cb1,ingress-nginx,aks-nodepool1-12223313-vmss000024,RUNNING,36.36,65.55,0,billing-worker:v4.0.2,2026-06-11T10:04:00
analytics-aggregator-1a70c5,analytics,aks-nodepool1-96011206-vmss000010,FAILED,53.24,37.03,1,analytics-aggregator:v4.17.6,2026-07-02T06:09:00
fraud-detector-d227ff,fraud-detection,aks-nodepool1-48627762-vmss000001,SUCCESS,18.14,50.57,2,fraud-detector:v4.17.9,2026-06-05T04:16:00
payment-gateway-cb4a12,security,aks-nodepool1-38662564-vmss000011,SUCCESS,66.49,49.13,2,payment-gateway:v2.11.1,2026-07-14T10:49:00
billing-worker-206559,ingress-nginx,aks-nodepool1-83743961-vmss000009,SUCCESS,66.83,74.83,2,billing-worker:v4.0.2,2026-06-06T07:46:00
recommendation-engine-bd3c71,billing,aks-nodepool1-49968287-vmss000008,SUCCESS,62.67,59.77,0,recommendation-engine:v2.2.6,2026-07-11T19:54:00
recommendation-engine-cb7d47,monitoring,aks-nodepool1-82588396-vmss000006,SUCCESS,38.85,43.55,0,recommendation-engine:v2.2.6,2026-07-14T07:54:00
billing-worker-7d1db6,monitoring,aks-nodepool1-75404546-vmss000018,QUEUED,71.71,85.78,1,billing-worker:v4.0.2,2026-06-27T15:04:00
recommendation-engine-99635d,dataops,aks-nodepool1-45299337-vmss000015,SUCCESS,21.92,86.82,0,recommendation-engine:v2.2.6,2026-07-16T10:46:00
fraud-detector-902ac3,monitoring,aks-nodepool1-48357559-vmss000003,SUCCESS,89.14,83.8,1,fraud-detector:v4.17.9,2026-07-03T15:06:00
fraud-detector-9119be,logging,aks-nodepool1-85585651-vmss000007,SUCCESS,56.38,34.82,0,fraud-detector:v4.17.9,2026-07-20T08:17:00
notification-service-9aed77,payments,aks-nodepool1-38662564-vmss000011,FAILED,34.67,59.62,1,notification-service:v2.4.9,2026-07-13T12:57:00
billing-worker-a2f0f6,security,aks-nodepool1-88032392-vmss000021,CANCELLED,49.45,16.33,0,billing-worker:v4.0.2,2026-07-22T18:43:00
auth-service-500446,analytics,aks-nodepool1-98085102-vmss000012,SUCCESS,45.46,45.2,2,auth-service:v1.0.8,2026-06-04T14:57:00
auth-service-862018,fraud-detection,aks-nodepool1-77686018-vmss000019,SUCCESS,1.0,70.43,2,auth-service:v1.0.8,2026-06-01T00:42:00
notification-service-2f1d4c,monitoring,aks-nodepool1-96011206-vmss000010,CANCELLED,34.79,43.17,3,notification-service:v2.4.9,2026-07-07T20:54:00
fraud-detector-a91dd3,payments,aks-nodepool1-47631053-vmss000002,RUNNING,35.09,43.41,1,fraud-detector:v4.17.9,2026-07-12T06:59:00
fraud-detector-743d4f,analytics,aks-nodepool1-88032392-vmss000021,SUCCESS,7.03,39.69,0,fraud-detector:v4.17.9,2026-07-12T22:54:00
inventory-sync-e47982,payments,aks-nodepool1-83743961-vmss000009,SUCCESS,75.42,49.56,2,inventory-sync:v3.2.2,2026-07-17T11:13:00
fraud-detector-b8c8a5,customer-360,aks-nodepool1-48357559-vmss000003,RUNNING,27.51,17.6,1,fraud-detector:v4.17.9,2026-06-23T17:29:00
inventory-sync-1f6943,dataops,aks-nodepool1-94180852-vmss000017,SUCCESS,53.4,39.82,0,inventory-sync:v3.2.2,2026-07-18T15:42:00
analytics-aggregator-9c147c,customer-360,aks-nodepool1-96147474-vmss000005,CANCELLED,9.05,87.72,2,analytics-aggregator:v4.17.6,2026-06-29T21:49:00
analytics-aggregator-37728f,customer-360,aks-nodepool1-43056794-vmss000016,SUCCESS,7.89,88.58,4,analytics-aggregator:v4.17.6,2026-06-10T10:12:00
notification-service-407580,analytics,aks-nodepool1-83743961-vmss000009,SUCCESS,75.72,59.35,2,notification-service:v2.4.9,2026-06-14T00:53:00
auth-service-548183,dataops,aks-nodepool1-48627762-vmss000001,SUCCESS,43.37,47.36,0,auth-service:v1.0.8,2026-07-15T22:13:00
reporting-service-a5d096,security,aks-nodepool1-94180852-vmss000017,SUCCESS,72.25,45.74,1,reporting-service:v1.14.0,2026-07-08T01:27:00
billing-worker-19ad75,billing,aks-nodepool1-98085102-vmss000012,SUCCESS,59.93,68.07,0,billing-worker:v4.0.2,2026-07-20T02:15:00
fraud-detector-20ba76,payments,aks-nodepool1-49245863-vmss000020,SUCCESS,68.99,59.45,5,fraud-detector:v4.17.9,2026-07-26T08:42:00
inventory-sync-7bb75,security,aks-nodepool1-96147474-vmss000005,FAILED,21.8,38.31,0,inventory-sync:v3.2.2,2026-07-15T10:43:00
