run_id,dag_id,dag_name,task_id,state,duration_seconds,owner,schedule,execution_date,try_number,queue,executor,priority_weight
RUN000001,DAG0137,billing_pipeline,TASK0609,SUCCESS,87,Fatima Al-Sayed,Weekly,2026-07-12T00:19:00,1,etl,CeleryExecutor,35
RUN000002,DAG0042,asset_management_etl,TASK0185,SUCCESS,432,Nina Petrova,Weekly,2026-06-19T15:17:00,0,default,KubernetesExecutor,7
RUN000003,DAG0047,supplier_onboarding_etl,TASK0203,SUCCESS,383,Hannah Schmidt,Daily,2026-06-14T08:48:00,4,etl,CeleryExecutor,98
RUN000004,DAG0005,inventory_etl,TASK0024,SUCCESS,140,Kenji Watanabe,Daily,2026-07-27T06:34:00,0,default,CeleryExecutor,63
RUN000005,DAG0100,claims_processing_sync,TASK0443,SUCCESS,142,Fatima Al-Sayed,Weekly,2026-06-11T00:48:00,0,default,KubernetesExecutor,79
RUN000006,DAG0092,master_data_sync,TASK0408,SUCCESS,401,Rachel Cohen,Daily,2026-06-19T03:59:00,4,default,LocalExecutor,78
RUN000007,DAG0101,underwriting_sync,TASK0447,SUCCESS,1466,Isaac Newton-Boyd,Weekly,2026-07-07T15:06:00,1,default,KubernetesExecutor,30
RUN000008,DAG0138,fraud_detection_pipeline,TASK0615,SUCCESS,851,Ahmed Hassan,Daily,2026-07-15T22:43:00,0,etl,CeleryExecutor,48
RUN000009,DAG0027,promotions_etl,TASK0119,SUCCESS,231,Elena Popescu,On Demand,2026-07-07T11:08:00,1,high_priority,LocalExecutor,85
RUN000010,DAG0030,tax_reporting_etl,TASK0132,SUCCESS,351,Sofia Rossi,Daily,2026-07-20T14:00:00,0,etl,KubernetesExecutor,56
RUN000011,DAG0107,cost_allocation_sync,TASK0475,SUCCESS,66,Samuel Okafor,Daily,2026-06-03T18:06:00,0,analytics,LocalExecutor,88
RUN000012,DAG0148,audit_pipeline,TASK0662,FAILED,879,Fatima Al-Sayed,On Demand,2026-06-23T06:59:00,1,high_priority,CeleryExecutor,38
RUN000013,DAG0069,sales_sync,TASK0302,SUCCESS,78,Zainab Ibrahim,Daily,2026-07-03T16:44:00,1,default,KubernetesExecutor,25
RUN000014,DAG0093,pricing_sync,TASK0412,SUCCESS,623,Hannah Schmidt,Hourly,2026-06-25T23:00:00,1,etl,LocalExecutor,65
RUN000015,DAG0093,pricing_sync,TASK0412,SUCCESS,135,Hannah Schmidt,Hourly,2026-06-23T03:39:00,0,default,CeleryExecutor,47
RUN000016,DAG0016,vendor_management_etl,TASK0073,SUCCESS,977,Lucas Silva,Monthly,2026-06-22T05:54:00,0,analytics,CeleryExecutor,21
RUN000017,DAG0111,maintenance_scheduling_sync,TASK0489,FAILED,440,Fatima Al-Sayed,Daily,2026-06-03T06:55:00,0,etl,CeleryExecutor,24
RUN000018,DAG0025,master_data_etl,TASK0114,SUCCESS,1041,Isaac Newton-Boyd,Daily,2026-06-07T02:18:00,0,analytics,CeleryExecutor,55
RUN000019,DAG0030,tax_reporting_etl,TASK0135,SUCCESS,203,Sofia Rossi,Daily,2026-07-01T22:20:00,1,default,KubernetesExecutor,9
RUN000020,DAG0002,sales_etl,TASK0010,RUNNING,1782,Laura Kowalski,Monthly,2026-06-28T07:13:00,1,etl,CeleryExecutor,59
RUN000021,DAG0020,security_monitoring_etl,TASK0091,FAILED,49,Kenji Watanabe,Daily,2026-07-25T14:44:00,1,default,KubernetesExecutor,31
RUN000022,DAG0106,gl_close_sync,TASK0466,QUEUED,377,Carlos Mendoza,Weekly,2026-06-14T18:09:00,0,analytics,LocalExecutor,16
RUN000023,DAG0047,supplier_onboarding_etl,TASK0202,SUCCESS,615,Hannah Schmidt,Daily,2026-07-19T09:16:00,0,etl,CeleryExecutor,18
RUN000024,DAG0097,tax_reporting_sync,TASK0427,SUCCESS,475,Grace Park,Weekly,2026-06-15T15:46:00,0,default,CeleryExecutor,39
RUN000025,DAG0083,vendor_management_sync,TASK0364,FAILED,115,Robert Nakamura,Monthly,2026-06-09T03:35:00,1,default,CeleryExecutor,19
RUN000026,DAG0089,crm_sync_sync,TASK0392,SUCCESS,165,Kenji Watanabe,Daily,2026-06-11T12:42:00,1,high_priority,CeleryExecutor,36
RUN000027,DAG0001,customer_etl,TASK0005,SUCCESS,291,Carlos Mendoza,Daily,2026-06-23T16:11:00,0,default,CeleryExecutor,25
RUN000028,DAG0025,master_data_etl,TASK0111,SUCCESS,1226,Isaac Newton-Boyd,Daily,2026-06-12T01:12:00,0,analytics,CeleryExecutor,85
RUN000029,DAG0099,contracts_sync,TASK0438,SUCCESS,104,Isaac Newton-Boyd,Monthly,2026-07-22T01:17:00,0,high_priority,LocalExecutor,85
RUN000030,DAG0127,sla_monitoring_sync,TASK0563,QUEUED,483,Maria Gonzalez,Daily,2026-07-17T09:18:00,5,default,CeleryExecutor,19
RUN000031,DAG0035,loyalty_etl,TASK0155,SUCCESS,573,Laura Kowalski,Weekly,2026-07-16T20:37:00,0,etl,CeleryExecutor,43
RUN000032,DAG0021,backup_etl,TASK0098,SUCCESS,444,Sofia Rossi,On Demand,2026-06-25T02:38:00,0,default,KubernetesExecutor,72
RUN000033,DAG0056,shipment_tracking_etl,TASK0241,SUCCESS,94,Hannah Schmidt,Monthly,2026-06-02T17:33:00,1,default,CeleryExecutor,23
